#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-13T01:25:56 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ613ea88527e979	
#INFO	-out.max=unlimited	
#INFO	queryParameters=7	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJ/830/51&tab:{J/ApJ/830/51/cdfsz}&key:source=J/ApJ/830/51/cdfsz&HTTPPRM:&
#-source=J/ApJ/830/51/cdfsz
#-order=I
#-out=Seq
#-out=zpk
#

#RESOURCE=yCat_18300051
#Name: J/ApJ/830/51
#Title: FourStar galaxy evolution survey (ZFOURGE) (Straatman+, 2016)
#Table	J_ApJ_830_51_cdfsz:
#Name: J/ApJ/830/51/cdfsz
#Title: CDFS EAZY photometric redshift catalog and spectroscopic redshifts (cdfszout and cdfszsp)
#Column	Seq	(I5)	[1/30911] Running sequence number	[ucd=meta.id;meta.main]
#Column	zpk	(F8.4)	[/9.9]? Default derived photometric redshift	[ucd=src.redshift;pos.heliocentric]
Seq	zpk
  112	  4.3450
  113	  0.7538
  114	  0.8766
  115	  1.2333
  116	  1.8963
  117	  1.1429
  118	  1.5809
  119	  1.2645
  120	  1.1359
  121	  0.7393
  122	  1.8404
  123	  0.0050
  124	  0.9465
  125	  0.7003
  126	  0.6281
  127	  4.3715
  128	  3.0024
  129	  1.2943
  130	  1.7424
  131	  1.1013
  132	  0.7532
  133	  0.8139
  134	  1.2235
  135	  0.9912
  136	  1.3442
  137	  0.5002
  138	  0.8491
  139	  0.8472
  140	  1.6076
  141	  1.7351
  142	  1.8250
  143	  4.3732
  144	  2.9595
  145	  1.6985
  146	  1.1778
  147	  0.2778
  148	  1.6695
  149	  0.8015
  150	  1.8046
  151	  1.1598
  152	  0.0050
  153	  1.0388
  154	-99.0000
  155	  1.4720
  156	  0.0050
  157	  0.7816
  158	  1.5229
  159	  3.6100
  160	  0.6028
  161	  2.0243
  162	  0.0844
  163	  2.2486
  164	  1.1229
  165	  0.7605
  166	  0.0882
  167	  1.3278
  168	  0.1779
  169	  0.6364
  170	  1.9496
  171	  2.9501
  172	  2.0538
  173	  2.0278
  174	  0.7514
  175	  0.4357
  176	  1.5483
  177	  2.8015
  178	  0.0050
  179	  1.1642
  180	  1.1540
  181	  1.6476
  182	  1.2447
  183	  1.0663
  184	  1.1484
  185	  1.4519
  186	  2.2234
  187	  0.3444
  188	  0.0945
  189	  1.8351
  190	  0.9762
  191	  1.5307
  192	  1.6612
  193	  2.6617
  194	  1.2291
  195	  3.3311
  196	  0.7898
  197	  0.5068
  198	  2.7957
  199	  0.1176
  200	  2.0635
  201	  3.5013
  202	  3.4349
  203	  2.7487
  204	  1.9072
  205	  2.7145
  206	  1.0349
  207	  2.8170
  208	  1.5401
  209	  0.3532
  210	  0.9566
  211	  1.1743
  212	  1.9469
  213	  0.6663
  214	  0.9522
  215	  0.9000
  216	  0.7885
  217	  0.9296
  218	  2.6374
  219	  1.1000
  220	  1.0900
  221	  4.0891
  222	  0.0050
  223	  3.0647
  224	  1.1110
  225	  0.7881
  226	  0.2856
  227	  0.6083
  228	  1.7444
  229	  0.6224
  230	  0.6928
  231	  1.7353
  232	  3.2329
  233	  0.0621
  234	  0.9223
  235	  0.7326
  236	  3.0196
  237	  0.6291
  238	  0.7872
  239	  0.6244
  240	  2.5319
  241	  1.1489
  242	  0.3555
  243	  0.3276
  244	  0.6680
  245	  0.6095
  246	  0.7181
  247	  0.6949
  248	  0.6976
  249	  0.0304
  250	  2.3962
  251	  1.3119
  252	  0.1561
  253	  0.9705
  254	  1.6760
  255	  1.1556
  256	  1.0676
  257	  1.2260
  258	  4.6846
  259	  3.3173
  260	  1.3440
  261	  0.3751
  262	  0.8898
  263	  1.8936
  264	  0.6599
  265	  0.7523
  266	  0.0938
  267	  0.7242
  268	  0.6402
  269	  1.8521
  270	  1.5939
  271	  1.3046
  272	  1.1138
  273	  1.0631
  274	  1.5866
  275	  3.5601
  276	  2.0606
  277	  1.7699
  278	  0.7694
  279	  0.8103
  280	  0.3648
  281	  1.8266
  282	  2.9771
  283	  0.9579
  284	  1.1675
  285	  3.0934
  286	  0.5276
  287	  0.4282
  288	  3.5771
  289	  0.3744
  290	  1.8707
  291	  0.7399
  292	  1.8124
  293	  1.5727
  294	  1.7648
  295	  0.7583
  296	  0.2125
  297	  4.3734
  298	  3.3516
  299	  0.0244
  300	  0.8218
  301	  1.0822
  302	  0.1462
  303	  1.6927
  304	  0.5234
  305	  0.8054
  306	  3.1667
  307	  1.8648
  308	  0.0050
  309	  0.7465
  310	  0.3732
  311	  0.7419
  312	  1.7634
  313	  3.0985
  314	  0.0486
  315	  0.4905
  316	  0.1253
  317	  2.3871
  318	  2.7419
  319	  0.3951
  320	  0.8449
  321	  0.9038
  322	  1.6893
  323	  1.4794
  324	  4.1897
  325	  0.6669
  326	  4.8742
  327	  1.0943
  328	  0.2087
  329	  0.6565
  330	  0.9601
  331	  1.1164
  332	  2.1324
  333	  0.6171
  334	  0.3661
  335	  1.0930
  336	  0.8242
  337	  0.6656
  338	  1.0831
  339	  1.7686
  340	  0.9337
  341	  0.8527
  342	  1.7818
  343	  2.7162
  344	  3.2697
  345	  4.8735
  346	  1.7059
  347	  1.2926
  348	  0.5513
  349	  0.4996
  350	  1.0367
  351	  0.8265
  352	  0.6232
  353	  0.9462
  354	  0.7018
  355	  3.5384
  356	  0.7351
  357	  2.8296
  358	  1.0618
  359	  0.9552
  360	  0.8570
  361	  1.0373
  362	  0.7664
  363	  0.7362
  364	  0.4703
  365	  1.7008
  366	  1.3092
  367	  0.7308
  368	  0.7016
  369	  0.5272
  370	  2.8185
  371	  3.6463
  372	  0.4191
  373	  1.0957
  374	  1.1652
  375	  2.0549
  376	  3.4555
  377	  4.1740
  378	  1.1891
  379	  0.6592
  380	  1.1036
  381	  1.3476
  382	  0.5428
  383	  0.7581
  384	  0.2655
  385	  1.7036
  386	  1.1338
  387	  0.6355
  388	  1.2654
  389	  1.0894
  390	  1.2277
  391	  0.6137
  392	  4.3508
  393	  4.6083
  394	  1.3881
  395	  0.9244
  396	  0.8334
  397	  1.2063
  398	  1.9451
  399	  1.5590
  400	  2.2541
  401	  4.6682
  402	  1.9904
  403	  0.6152
  404	  1.9750
  405	  2.9274
  406	  0.8959
  407	  0.6667
  408	  0.8038
  409	  0.7274
  410	  1.1081
  411	  2.8604
  412	  3.6501
  413	  0.2926
  414	  2.6181
  415	  3.1250
  416	  1.1994
  417	  2.9759
  418	  1.1848
  419	  0.2705
  420	  1.6057
  421	  0.9293
  422	  1.3533
  423	  2.3186
  424	  0.5282
  425	  2.3764
  426	  3.5059
  427	  1.0710
  428	  0.6692
  429	  3.4705
  430	  0.8143
  431	  1.1243
  432	  0.5040
  433	  1.4980
  434	  2.0095
  435	  0.9716
  436	  1.3771
  437	  1.6289
  438	  1.0870
  439	  0.6473
  440	  1.6548
  441	  0.1336
  442	  1.0610
  443	  2.8068
  444	  0.8188
  445	  1.1574
  446	  1.1538
  447	  0.1356
  448	  0.1351
  449	  3.1953
  450	  3.6849
  451	  1.0099
  452	  2.9829
  453	  1.8410
  454	  1.7558
  455	  4.8741
  456	  1.2497
  457	  0.0050
  458	  0.3692
  459	  1.6689
  460	  1.7426
  461	  2.2753
  462	  1.7341
  463	  1.0625
  464	  1.8467
  465	  1.3579
  466	  2.4978
  467	  0.9557
  468	  1.0578
  469	  6.8820
  470	  0.1096
  471	  1.7495
  472	  0.1491
  473	  1.9151
  474	  2.9612
  475	  0.6684
  476	  1.8066
  477	  0.7682
  478	  3.1785
  479	  1.2607
  480	  0.8759
  481	  3.7741
  482	  0.6199
  483	  4.4489
  484	  4.4064
  485	  0.9206
  486	  2.8325
  487	  3.8187
  488	  2.6896
  489	  1.3322
  490	  0.9569
  491	  0.5409
  492	  0.9098
  493	  0.6790
  494	  0.9631
  495	  1.6067
  496	  0.2936
  497	  0.4144
  498	  1.2511
  499	  3.3182
  500	  0.8356
  501	  0.6618
  502	  0.6666
  503	  0.3915
  504	  0.3618
  505	  1.3485
  506	  0.6616
  507	  0.7395
  508	  1.0620
  509	  1.1212
  510	  2.7234
  511	  0.7690
  512	  0.2906
  513	  1.4045
  514	  0.8665
  515	  2.3166
  516	  1.1360
  517	  0.3823
  518	  4.3723
  519	  0.6201
  520	  0.6098
  521	  0.6730
  522	  1.5870
  523	  0.5610
  524	  1.1601
  525	  0.7893
  526	  3.5413
  527	  2.6373
  528	  2.2044
  529	  0.5773
  530	  0.6265
  531	  0.6920
  532	  1.1111
  533	  1.5289
  534	  1.1454
  535	  1.8175
  536	  4.6636
  537	  0.6640
  538	  0.6855
  539	  1.0494
  540	  1.6117
  541	  1.2861
  542	  0.6185
  543	  0.0817
  544	  0.7477
  545	  3.1944
  546	  0.0076
  547	  0.6036
  548	  0.6234
  549	  0.8349
  550	  1.0554
  551	  0.8487
  552	  3.1001
  553	  0.6702
  554	  0.8448
  555	  0.7327
  556	  1.7351
  557	  0.7739
  558	  2.1188
  559	  3.4036
  560	  2.6577
  561	  1.2814
  562	  1.0578
  563	  2.0115
  564	  1.5206
  565	  1.9195
  566	  1.2959
  567	  0.9124
  568	  0.0050
  569	  3.9115
  570	  3.0973
  571	  1.0467
  572	  2.1024
  573	  0.1607
  574	  0.9728
  575	  0.8542
  576	  0.7909
  577	  0.0536
  578	  2.0553
  579	  0.7906
  580	  1.2389
  581	  0.2416
  582	  1.9575
  583	  1.5377
  584	  0.6169
  585	  0.1407
  586	  2.5333
  587	  0.1936
  588	  0.3066
  589	  0.2212
  590	  1.6159
  591	  0.0953
  592	  1.5537
  593	  3.2743
  594	  1.4353
  595	  1.3800
  596	  4.1016
  597	  0.6108
  598	  0.3348
  599	  0.8283
  600	  1.8975
  601	  0.7310
  602	  0.3174
  603	  0.8582
  604	  1.8796
  605	  1.5650
  606	  0.5665
  607	  3.3948
  608	  0.0448
  609	  1.1186
  610	  1.7345
  611	  1.0512
  612	  1.0245
  613	  0.4644
  614	  0.3359
  615	  0.9649
  616	  0.9733
  617	  0.5675
  618	  0.5215
  619	  2.6442
  620	  0.6226
  621	  0.6468
  622	  1.6861
  623	  0.6137
  624	  1.5760
  625	  0.6221
  626	  1.4468
  627	  1.1998
  628	  3.3565
  629	  1.6976
  630	  1.6990
  631	  1.2096
  632	  1.7663
  633	  0.3114
  634	  0.7719
  635	  3.8329
  636	  1.4834
  637	  1.8619
  638	  0.1072
  639	  3.5352
  640	  3.3272
  641	  0.3116
  642	  1.6152
  643	  0.1381
  644	  0.9495
  645	  0.0050
  646	  1.1410
  647	  2.5073
  648	  0.3679
  649	  0.6659
  650	  2.9221
  651	  0.3354
  652	  0.6645
  653	  2.3124
  654	  1.0051
  655	  1.7825
  656	  3.3617
  657	  0.9029
  658	  0.7803
  659	  0.6450
  660	  3.6698
  661	  2.2768
  662	  0.1651
  663	  0.9691
  664	  1.8089
  665	  1.0936
  666	  0.8258
  667	  0.9033
  668	  2.9688
  669	  2.4397
  670	  0.6630
  671	  0.1339
  672	  1.4982
  673	  0.9511
  674	  2.8210
  675	  4.3436
  676	  0.6236
  677	  1.0780
  678	  2.9945
  679	  0.4518
  680	  1.1534
  681	  0.0050
  682	  0.8408
  683	  2.4298
  684	  1.4151
  685	  2.1864
  686	  1.7820
  687	  0.2945
  688	  0.5129
  689	  0.7930
  690	  1.0627
  691	  3.6559
  692	  0.0050
  693	  1.0774
  694	  1.2369
  695	  2.3307
  696	  0.6659
  697	  1.9446
  698	  1.0058
  699	  1.0064
  700	  0.3007
  701	  0.3612
  702	  0.2845
  703	  0.2197
  704	  1.8127
  705	  1.2520
  706	  2.0931
  707	  1.0975
  708	  0.8372
  709	  1.5585
  710	  1.8469
  711	  0.6855
  712	  0.6782
  713	  0.7243
  714	  0.9967
  715	  2.8403
  716	  1.4813
  717	  0.6167
  718	  1.5726
  719	  1.5634
  720	  1.8414
  721	  1.6800
  722	  0.5098
  723	  0.9220
  724	  0.7354
  725	  3.1954
  726	  2.6351
  727	  1.5134
  728	  0.2485
  729	  0.1179
  730	  1.0802
  731	  1.2409
  732	  1.6268
  733	  0.7580
  734	  1.8732
  735	  1.1975
  736	  1.7068
  737	  1.0397
  738	  0.6559
  739	  0.7184
  740	  1.8742
  741	  0.6173
  742	  2.2802
  743	  0.7726
  744	  0.7399
  745	  0.5379
  746	  0.7899
  747	  1.7421
  748	  0.8404
  749	  3.3777
  750	  1.8579
  751	  2.0327
  752	  4.8554
  753	  1.1034
  754	  1.7753
  755	  2.4276
  756	  2.5378
  757	  0.3165
  758	  1.8394
  759	  1.5508
  760	  1.4752
  761	  0.0050
  762	  0.6690
  763	  4.9134
  764	  1.1565
  765	  0.2899
  766	  0.0737
  767	  0.6588
  768	  2.0609
  769	  1.5420
  770	  2.2237
  771	  2.3862
  772	  1.0531
  773	  0.5052
  774	  4.1752
  775	  1.7396
  776	  0.5382
  777	  3.1491
  778	  3.5536
  779	  2.0030
  780	  1.2028
  781	  2.2890
  782	  0.7242
  783	  0.1147
  784	  0.7302
  785	  1.1282
  786	  3.2879
  787	  2.8946
  788	  1.9246
  789	  0.2752
  790	  0.6111
  791	  2.2959
  792	  0.6126
  793	  2.2408
  794	  0.9742
  795	  1.2089
  796	  1.7157
  797	  1.5058
  798	  0.4008
  799	  1.0679
  800	  0.6210
  801	  3.1402
  802	  1.0954
  803	  0.2731
  804	  1.7273
  805	  2.0749
  806	  0.9105
  807	  0.3610
  808	  0.2059
  809	  1.4601
  810	  0.5625
  811	  0.8997
  812	  0.9565
  813	  1.1544
  814	  1.5113
  815	  1.4105
  816	  0.6429
  817	  0.4993
  818	  0.3717
  819	  0.7494
  820	  1.4282
  821	  0.6834
  822	  1.4209
  823	  3.5004
  824	  3.5561
  825	  0.5704
  826	  0.9480
  827	  0.8514
  828	  1.1184
  829	  1.1042
  830	  0.3836
  831	  0.6696
  832	  1.6911
  833	  2.7349
  834	  0.6659
  835	  0.7954
  836	  3.2761
  837	  4.9032
  838	  0.9657
  839	  2.0792
  840	  1.2688
  841	  1.2030
  842	  2.4288
  843	  1.9259
  844	  0.8346
  845	  1.2025
  846	  0.6717
  847	  1.7614
  848	  0.1530
  849	  1.3991
  850	  2.6459
  851	  1.3409
  852	  1.3634
  853	  0.4539
  854	  0.7322
  855	  1.3567
  856	  1.7660
  857	  0.1112
  858	  1.9535
  859	  0.6872
  860	  4.8629
  861	  1.3347
  862	  0.2153
  863	  1.5815
  864	  3.8220
  865	  0.9368
  866	  2.2830
  867	  1.9154
  868	  1.6893
  869	  1.3041
  870	  1.7516
  871	  2.2723
  872	  2.8154
  873	  2.3135
  874	  1.8102
  875	  2.2811
  876	  1.0920
  877	  0.6715
  878	  0.3960
  879	  5.0007
  880	  0.6423
  881	  1.7202
  882	  3.4310
  883	  1.8631
  884	  1.4765
  885	  1.1032
  886	  0.6444
  887	  0.3061
  888	  0.8768
  889	  1.3929
  890	  0.0262
  891	  0.7938
  892	  1.3104
  893	  0.1115
  894	  1.6843
  895	  3.1734
  896	  2.1704
  897	  0.0173
  898	  2.3793
  899	  2.0731
  900	  1.1528
  901	  1.1428
  902	  0.6872
  903	  2.3813
  904	  0.8536
  905	  0.7807
  906	  0.8174
  907	  1.2865
  908	  1.7799
  909	  1.2239
  910	  1.1673
  911	  0.6767
  912	  0.5440
  913	  0.6641
  914	  3.4948
  915	  2.4104
  916	  3.7163
  917	  2.7298
  918	  1.7049
  919	  3.0361
  920	  0.6918
  921	  2.7608
  922	  1.3756
  923	  0.8020
  924	  1.0445
  925	  2.7859
  926	  0.9153
  927	  3.5391
  928	  1.1278
  929	  0.7627
  930	  1.5500
  931	  0.5389
  932	  1.9753
  933	  0.4100
  934	  0.8378
  935	  2.4517
  936	  0.9547
  937	  0.8198
  938	  2.4135
  939	  1.4621
  940	  1.3063
  941	  1.9519
  942	  2.5458
  943	  0.2126
  944	  1.4428
  945	  0.7868
  946	  1.5561
  947	  3.3988
  948	  0.9306
  949	  1.1808
  950	  0.6185
  951	  1.8896
  952	  1.4610
  953	  0.6249
  954	  0.9348
  955	  0.0383
  956	  2.1827
  957	  0.7577
  958	  0.4159
  959	  1.1741
  960	  1.1420
  961	  1.3325
  962	  1.3873
  963	  1.6550
  964	  1.3982
  965	  2.3886
  966	  2.8751
  967	  0.5074
  968	  2.7545
  969	  0.3406
  970	  0.4430
  971	  0.5921
  972	  0.5501
  973	  0.7362
  974	  3.7564
  975	  1.4236
  976	  0.6435
  977	  0.6348
  978	  0.8304
  979	  0.8652
  980	  0.9045
  981	  3.1338
  982	  0.2435
  983	  1.7514
  984	  2.8449
  985	  1.0673
  986	  0.9586
  987	  1.0667
  988	  3.0158
  989	  2.0836
  990	  1.5463
  991	  1.7619
  992	  0.3296
  993	  0.5128
  994	  1.4794
  995	  0.6858
  996	  0.5918
  997	  0.6981
  998	  1.0158
  999	  2.1317
 1000	  0.7464
 1001	  1.5500
 1002	  0.7326
 1003	  0.9895
 1004	  3.3921
 1005	  3.5170
 1006	  0.9661
 1007	  1.9887
 1008	  1.6077
 1009	  0.5166
 1010	  0.1558
 1011	  0.8245
 1012	  2.7754
 1013	  0.7458
 1014	  1.3526
 1015	  1.2893
 1016	  2.1893
 1017	  1.5334
 1018	  1.1527
 1019	  1.4653
 1020	  0.5961
 1021	  1.0855
 1022	  0.6073
 1023	  1.0048
 1024	  0.0161
 1025	  1.0571
 1026	  3.0128
 1027	  0.8491
 1028	  0.1253
 1029	  1.9874
 1030	  0.8133
 1031	  0.2754
 1032	  2.0124
 1033	  1.9911
 1034	  1.7765
 1035	  3.5580
 1036	  1.1011
 1037	  5.1030
 1038	  0.6764
 1039	  1.3589
 1040	  0.4391
 1041	  1.2392
 1042	  0.3784
 1043	  1.2441
 1044	  1.1413
 1045	  0.6930
 1046	  1.5136
 1047	  3.4758
 1048	  0.8412
 1049	  1.2420
 1050	  0.5324
 1051	  2.7586
 1052	  2.9259
 1053	  2.4386
 1054	  0.1247
 1055	  0.6341
 1056	  0.8024
 1057	  0.4119
 1058	  3.1820
 1059	  0.2773
 1060	  0.6378
 1061	  2.7067
 1062	  2.6175
 1063	  2.7857
 1064	  1.0930
 1065	  0.7764
 1066	  3.6006
 1067	  0.6792
 1068	  0.9649
 1069	  1.3976
 1070	  4.7563
 1071	  3.4734
 1072	  0.6265
 1073	  0.6112
 1074	  3.2698
 1075	  0.1709
 1076	  2.7484
 1077	  0.9605
 1078	  0.9164
 1079	  1.2115
 1080	  0.5400
 1081	  1.6120
 1082	  2.8711
 1083	  0.6414
 1084	  0.6967
 1085	  1.3474
 1086	  3.1566
 1087	  2.8352
 1088	  1.1486
 1089	  2.0161
 1090	  3.5149
 1091	  0.6358
 1092	  0.6310
 1093	  1.7560
 1094	  2.0816
 1095	  1.0791
 1096	  2.6553
 1097	  0.7364
 1098	  3.3845
 1099	  1.0970
 1100	  2.0671
 1101	  0.7200
 1102	  1.5365
 1103	  1.6549
 1104	  1.3711
 1105	  0.6739
 1106	  0.2084
 1107	  1.8941
 1108	  0.0320
 1109	  2.3665
 1110	  1.2779
 1111	  1.6123
 1112	  0.7229
 1113	  0.8376
 1114	  1.9247
 1115	  2.1379
 1116	  0.7050
 1117	  0.5054
 1118	  0.5235
 1119	  0.8679
 1120	  2.1584
 1121	  1.4401
 1122	  0.9800
 1123	  1.2363
 1124	  2.6624
 1125	  0.5562
 1126	  0.6194
 1127	  0.9121
 1128	  2.2978
 1129	  2.6854
 1130	  1.0922
 1131	  1.0562
 1132	  2.1966
 1133	  2.4140
 1134	  0.4223
 1135	  1.2678
 1136	  0.5427
 1137	  0.6786
 1138	  0.3462
 1139	  4.0539
 1140	  1.5934
 1141	  0.4519
 1142	  1.6613
 1143	  3.8165
 1144	  1.3685
 1145	  0.2413
 1146	  1.6146
 1147	  1.5886
 1148	  1.9205
 1149	  2.3895
 1150	  2.4262
 1151	  1.4768
 1152	  2.0477
 1153	  3.4563
 1154	  0.6793
 1155	  3.2943
 1156	  0.0050
 1157	  0.7222
 1158	  1.0857
 1159	  1.8728
 1160	  1.1042
 1161	  0.0309
 1162	  0.0401
 1163	  0.7469
 1164	  2.6235
 1165	  2.1430
 1166	  1.2057
 1167	  0.6634
 1168	  0.6666
 1169	  2.2760
 1170	  1.2358
 1171	  0.9314
 1172	  2.3245
 1173	  0.6715
 1174	  0.0642
 1175	  0.3409
 1176	  0.6171
 1177	  0.6573
 1178	  0.4190
 1179	  0.7364
 1180	  2.3353
 1181	  1.6460
 1182	  0.6661
 1183	  1.1376
 1184	  0.9655
 1185	  1.8114
 1186	  1.0573
 1187	  3.7271
 1188	  0.2536
 1189	  0.7004
 1190	  0.9901
 1191	  3.4889
 1192	  3.2167
 1193	  0.6648
 1194	  1.7885
 1195	  0.4938
 1196	  1.6316
 1197	  0.8059
 1198	  0.0789
 1199	  0.7482
 1200	  0.6647
 1201	  2.3479
 1202	  1.0286
 1203	  1.5232
 1204	  0.5667
 1205	  2.4891
 1206	  0.7113
 1207	  0.3696
 1208	  2.8101
 1209	  1.1913
 1210	  3.2676
 1211	  0.8953
 1212	  0.6230
 1213	  0.0931
 1214	  0.6391
 1215	  3.3015
 1216	  0.8962
 1217	  1.0713
 1218	  3.2329
 1219	  0.7953
 1220	  0.7958
 1221	  2.1728
 1222	  1.4624
 1223	  0.0603
 1224	  3.0120
 1225	  2.1504
 1226	  0.6706
 1227	  0.4995
 1228	  0.6787
 1229	  1.9728
 1230	  1.3585
 1231	  1.0788
 1232	  0.5915
 1233	  0.3499
 1234	  0.9644
 1235	  0.6889
 1236	  0.2142
 1237	  1.0461
 1238	  0.8931
 1239	  2.6964
 1240	  1.5875
 1241	  2.6403
 1242	  2.8044
 1243	  0.6763
 1244	  2.3623
 1245	  0.3896
 1246	  5.6638
 1247	  0.7674
 1248	  0.7513
 1249	  1.3634
 1250	  1.2968
 1251	  2.2977
 1252	  2.8909
 1253	  0.8741
 1254	  2.0279
 1255	  0.3106
 1256	  0.7540
 1257	  1.0522
 1258	  1.7790
 1259	  1.0565
 1260	  0.3990
 1261	  2.3388
 1262	  3.5519
 1263	  1.1230
 1264	  3.2595
 1265	  0.3656
 1266	  3.2401
 1267	  1.6830
 1268	  0.1298
 1269	  0.8476
 1270	  0.8205
 1271	  0.6669
 1272	  2.4392
 1273	  1.4958
 1274	  0.7295
 1275	  0.6749
 1276	  0.8097
 1277	  4.8745
 1278	  1.4745
 1279	  1.6326
 1280	  0.5897
 1281	  0.7653
 1282	  0.5214
 1283	  0.8632
 1284	  2.7525
 1285	  1.0329
 1286	  3.8848
 1287	  2.2243
 1288	  0.6206
 1289	  1.2027
 1290	  1.4142
 1291	  0.3764
 1292	  3.7466
 1293	  0.7131
 1294	  1.7236
 1295	  1.7556
 1296	  0.8571
 1297	  2.8318
 1298	  2.2563
 1299	  1.6713
 1300	  1.1590
 1301	  0.6561
 1302	  3.1642
 1303	  3.0585
 1304	  1.1583
 1305	  3.5157
 1306	  0.5382
 1307	  0.9737
 1308	  0.6424
 1309	  4.8734
 1310	  2.8515
 1311	  1.4249
 1312	  0.6536
 1313	  1.6713
 1314	  1.7499
 1315	  0.7827
 1316	  0.7734
 1317	  1.0634
 1318	  1.0656
 1319	  1.7560
 1320	  0.6343
 1321	  0.4640
 1322	  1.1573
 1323	  2.0631
 1324	  1.3947
 1325	  0.6918
 1326	  1.4800
 1327	  3.5310
 1328	  4.8744
 1329	  0.6711
 1330	  0.1576
 1331	  1.6800
 1332	  2.3219
 1333	  2.5081
 1334	  1.0715
 1335	  0.7373
 1336	  0.1958
 1337	  0.9447
 1338	  1.0527
 1339	  4.8350
 1340	  2.5745
 1341	  2.1538
 1342	  1.7347
 1343	  0.7836
 1344	  2.3542
 1345	  1.5696
 1346	  0.9499
 1347	  3.2028
 1348	  3.1233
 1349	  0.3584
 1350	  0.7637
 1351	  0.7314
 1352	  1.5834
 1353	  3.5611
 1354	  1.6070
 1355	  0.5179
 1356	  1.6065
 1357	  1.8245
 1358	  4.7318
 1359	  0.4300
 1360	  0.3795
 1361	  0.7474
 1362	  2.4127
 1363	  1.1031
 1364	  0.9137
 1365	  0.4866
 1366	  1.2776
 1367	  2.9320
 1368	  2.6644
 1369	  1.9994
 1370	  1.4862
 1371	  2.8444
 1372	  3.5675
 1373	  0.1334
 1374	  3.1750
 1375	  1.5871
 1376	  0.5122
 1377	  0.3199
 1378	  2.1269
 1379	  2.1109
